serum,virus,replicate,concentration,well_id,plate_name,experiment_rep,fraction infectivity,input_folder
Nirsevimab,RSV B N201S,1,1000,F2,V1P1,mAb_1,0.4962,25.01.30_mab
Nirsevimab,RSV B N201S,1,285.7,F3,V1P1,mAb_1,0.8549,25.01.30_mab
Nirsevimab,RSV B N201S,1,81.63,F4,V1P1,mAb_1,0.5711,25.01.30_mab
Nirsevimab,RSV B N201S,1,23.32,F5,V1P1,mAb_1,0.7393,25.01.30_mab
Nirsevimab,RSV B N201S,1,6.664,F6,V1P1,mAb_1,1.029,25.01.30_mab
Nirsevimab,RSV B N201S,1,1.904,F7,V1P1,mAb_1,0.8057,25.01.30_mab
Nirsevimab,RSV B N201S,1,0.544,F8,V1P1,mAb_1,0.6174,25.01.30_mab
Nirsevimab,RSV B N201S,1,0.1554,F9,V1P1,mAb_1,0.8768,25.01.30_mab
Nirsevimab,RSV B N201S,1,0.04441,F10,V1P1,mAb_1,0.8231,25.01.30_mab
Nirsevimab,RSV B N201S,2,1000,G2,V1P1,mAb_1,0.3009,25.01.30_mab
Nirsevimab,RSV B N201S,2,285.7,G3,V1P1,mAb_1,0.6478,25.01.30_mab
Nirsevimab,RSV B N201S,2,81.63,G4,V1P1,mAb_1,1.127,25.01.30_mab
Nirsevimab,RSV B N201S,2,23.32,G5,V1P1,mAb_1,0.9298,25.01.30_mab
Nirsevimab,RSV B N201S,2,6.664,G6,V1P1,mAb_1,1.173,25.01.30_mab
Nirsevimab,RSV B N201S,2,1.904,G7,V1P1,mAb_1,1.055,25.01.30_mab
Nirsevimab,RSV B N201S,2,0.544,G8,V1P1,mAb_1,0.8573,25.01.30_mab
Nirsevimab,RSV B N201S,2,0.1554,G9,V1P1,mAb_1,0.6421,25.01.30_mab
Nirsevimab,RSV B N201S,2,0.04441,G10,V1P1,mAb_1,0.8888,25.01.30_mab
D25,RSV B N201S,1,1000,D2,V1P1,mAb_1,1.294,25.01.30_mab
D25,RSV B N201S,1,285.7,D3,V1P1,mAb_1,0.922,25.01.30_mab
D25,RSV B N201S,1,81.63,D4,V1P1,mAb_1,1.053,25.01.30_mab
D25,RSV B N201S,1,23.32,D5,V1P1,mAb_1,1.339,25.01.30_mab
D25,RSV B N201S,1,6.664,D6,V1P1,mAb_1,1.205,25.01.30_mab
D25,RSV B N201S,1,1.904,D7,V1P1,mAb_1,1.114,25.01.30_mab
D25,RSV B N201S,1,0.544,D8,V1P1,mAb_1,0.9489,25.01.30_mab
D25,RSV B N201S,1,0.1554,D9,V1P1,mAb_1,0.7347,25.01.30_mab
D25,RSV B N201S,1,0.04441,D10,V1P1,mAb_1,0.6294,25.01.30_mab
D25,RSV B N201S,2,1000,E2,V1P1,mAb_1,0.8626,25.01.30_mab
D25,RSV B N201S,2,285.7,E3,V1P1,mAb_1,0.8934,25.01.30_mab
D25,RSV B N201S,2,81.63,E4,V1P1,mAb_1,0.8372,25.01.30_mab
D25,RSV B N201S,2,23.32,E5,V1P1,mAb_1,1.005,25.01.30_mab
D25,RSV B N201S,2,6.664,E6,V1P1,mAb_1,0.7835,25.01.30_mab
D25,RSV B N201S,2,1.904,E7,V1P1,mAb_1,1.41,25.01.30_mab
D25,RSV B N201S,2,0.544,E8,V1P1,mAb_1,0.9701,25.01.30_mab
D25,RSV B N201S,2,0.1554,E9,V1P1,mAb_1,0.9687,25.01.30_mab
D25,RSV B N201S,2,0.04441,E10,V1P1,mAb_1,1.667,25.01.30_mab
Suptavumab,RSV B N201S,1,1000,B2,V1P1,mAb_1,1.004,25.01.30_mab
Suptavumab,RSV B N201S,1,285.7,B3,V1P1,mAb_1,0.6845,25.01.30_mab
Suptavumab,RSV B N201S,1,81.63,B4,V1P1,mAb_1,0.8224,25.01.30_mab
Suptavumab,RSV B N201S,1,23.32,B5,V1P1,mAb_1,0.7489,25.01.30_mab
Suptavumab,RSV B N201S,1,6.664,B6,V1P1,mAb_1,0.6859,25.01.30_mab
Suptavumab,RSV B N201S,1,1.904,B7,V1P1,mAb_1,0.881,25.01.30_mab
Suptavumab,RSV B N201S,1,0.544,B8,V1P1,mAb_1,0.9538,25.01.30_mab
Suptavumab,RSV B N201S,1,0.1554,B9,V1P1,mAb_1,0.6711,25.01.30_mab
Suptavumab,RSV B N201S,1,0.04441,B10,V1P1,mAb_1,0.8489,25.01.30_mab
Suptavumab,RSV B N201S,2,1000,C2,V1P1,mAb_1,1.012,25.01.30_mab
Suptavumab,RSV B N201S,2,285.7,C3,V1P1,mAb_1,1.193,25.01.30_mab
Suptavumab,RSV B N201S,2,81.63,C4,V1P1,mAb_1,1,25.01.30_mab
Suptavumab,RSV B N201S,2,23.32,C5,V1P1,mAb_1,0.8224,25.01.30_mab
Suptavumab,RSV B N201S,2,6.664,C6,V1P1,mAb_1,1.247,25.01.30_mab
Suptavumab,RSV B N201S,2,1.904,C7,V1P1,mAb_1,0.9697,25.01.30_mab
Suptavumab,RSV B N201S,2,0.544,C8,V1P1,mAb_1,0.7619,25.01.30_mab
Suptavumab,RSV B N201S,2,0.1554,C9,V1P1,mAb_1,0.9796,25.01.30_mab
Suptavumab,RSV B N201S,2,0.04441,C10,V1P1,mAb_1,1.273,25.01.30_mab
Palivizumab,RSV B N201S,1,1000,F2,V1P2,mAb_1,0.1397,25.01.30_mab
Palivizumab,RSV B N201S,1,285.7,F3,V1P2,mAb_1,0.2684,25.01.30_mab
Palivizumab,RSV B N201S,1,81.63,F4,V1P2,mAb_1,0.8903,25.01.30_mab
Palivizumab,RSV B N201S,1,23.32,F5,V1P2,mAb_1,0.853,25.01.30_mab
Palivizumab,RSV B N201S,1,6.664,F6,V1P2,mAb_1,1.188,25.01.30_mab
Palivizumab,RSV B N201S,1,1.904,F7,V1P2,mAb_1,0.9351,25.01.30_mab
Palivizumab,RSV B N201S,1,0.544,F8,V1P2,mAb_1,0.7827,25.01.30_mab
Palivizumab,RSV B N201S,1,0.1554,F9,V1P2,mAb_1,1.119,25.01.30_mab
Palivizumab,RSV B N201S,1,0.04441,F10,V1P2,mAb_1,1.205,25.01.30_mab
Palivizumab,RSV B N201S,2,1000,G2,V1P2,mAb_1,0.1357,25.01.30_mab
Palivizumab,RSV B N201S,2,285.7,G3,V1P2,mAb_1,0.3184,25.01.30_mab
Palivizumab,RSV B N201S,2,81.63,G4,V1P2,mAb_1,1.085,25.01.30_mab
Palivizumab,RSV B N201S,2,23.32,G5,V1P2,mAb_1,1.439,25.01.30_mab
Palivizumab,RSV B N201S,2,6.664,G6,V1P2,mAb_1,1.358,25.01.30_mab
Palivizumab,RSV B N201S,2,1.904,G7,V1P2,mAb_1,1.372,25.01.30_mab
Palivizumab,RSV B N201S,2,0.544,G8,V1P2,mAb_1,0.7099,25.01.30_mab
Palivizumab,RSV B N201S,2,0.1554,G9,V1P2,mAb_1,0.6847,25.01.30_mab
Palivizumab,RSV B N201S,2,0.04441,G10,V1P2,mAb_1,1.089,25.01.30_mab
Clesrovimab,RSV B N201S,1,1000,D2,V1P2,mAb_1,0.1159,25.01.30_mab
Clesrovimab,RSV B N201S,1,285.7,D3,V1P2,mAb_1,0.05698,25.01.30_mab
Clesrovimab,RSV B N201S,1,81.63,D4,V1P2,mAb_1,0.08722,25.01.30_mab
Clesrovimab,RSV B N201S,1,23.32,D5,V1P2,mAb_1,0.116,25.01.30_mab
Clesrovimab,RSV B N201S,1,6.664,D6,V1P2,mAb_1,0.2845,25.01.30_mab
Clesrovimab,RSV B N201S,1,1.904,D7,V1P2,mAb_1,0.5572,25.01.30_mab
Clesrovimab,RSV B N201S,1,0.544,D8,V1P2,mAb_1,0.7047,25.01.30_mab
Clesrovimab,RSV B N201S,1,0.1554,D9,V1P2,mAb_1,0.9103,25.01.30_mab
Clesrovimab,RSV B N201S,1,0.04441,D10,V1P2,mAb_1,0.9044,25.01.30_mab
Clesrovimab,RSV B N201S,2,1000,E2,V1P2,mAb_1,0.139,25.01.30_mab
Clesrovimab,RSV B N201S,2,285.7,E3,V1P2,mAb_1,0.1246,25.01.30_mab
Clesrovimab,RSV B N201S,2,81.63,E4,V1P2,mAb_1,0.07971,25.01.30_mab
Clesrovimab,RSV B N201S,2,23.32,E5,V1P2,mAb_1,0.1235,25.01.30_mab
Clesrovimab,RSV B N201S,2,6.664,E6,V1P2,mAb_1,0.2193,25.01.30_mab
Clesrovimab,RSV B N201S,2,1.904,E7,V1P2,mAb_1,0.7783,25.01.30_mab
Clesrovimab,RSV B N201S,2,0.544,E8,V1P2,mAb_1,1.113,25.01.30_mab
Clesrovimab,RSV B N201S,2,0.1554,E9,V1P2,mAb_1,1.62,25.01.30_mab
Clesrovimab,RSV B N201S,2,0.04441,E10,V1P2,mAb_1,1.215,25.01.30_mab
MPE8,RSV B N201S,1,1000,B2,V1P2,mAb_1,0.05956,25.01.30_mab
MPE8,RSV B N201S,1,285.7,B3,V1P2,mAb_1,0.07757,25.01.30_mab
MPE8,RSV B N201S,1,81.63,B4,V1P2,mAb_1,0.09125,25.01.30_mab
MPE8,RSV B N201S,1,23.32,B5,V1P2,mAb_1,0.22,25.01.30_mab
MPE8,RSV B N201S,1,6.664,B6,V1P2,mAb_1,0.8515,25.01.30_mab
MPE8,RSV B N201S,1,1.904,B7,V1P2,mAb_1,0.9162,25.01.30_mab
MPE8,RSV B N201S,1,0.544,B8,V1P2,mAb_1,0.8419,25.01.30_mab
MPE8,RSV B N201S,1,0.1554,B9,V1P2,mAb_1,0.8766,25.01.30_mab
MPE8,RSV B N201S,1,0.04441,B10,V1P2,mAb_1,1.307,25.01.30_mab
MPE8,RSV B N201S,2,1000,C2,V1P2,mAb_1,0.1027,25.01.30_mab
MPE8,RSV B N201S,2,285.7,C3,V1P2,mAb_1,0.08223,25.01.30_mab
MPE8,RSV B N201S,2,81.63,C4,V1P2,mAb_1,0.09129,25.01.30_mab
MPE8,RSV B N201S,2,23.32,C5,V1P2,mAb_1,0.1304,25.01.30_mab
MPE8,RSV B N201S,2,6.664,C6,V1P2,mAb_1,0.6585,25.01.30_mab
MPE8,RSV B N201S,2,1.904,C7,V1P2,mAb_1,1.236,25.01.30_mab
MPE8,RSV B N201S,2,0.544,C8,V1P2,mAb_1,0.7265,25.01.30_mab
MPE8,RSV B N201S,2,0.1554,C9,V1P2,mAb_1,1.099,25.01.30_mab
MPE8,RSV B N201S,2,0.04441,C10,V1P2,mAb_1,1.18,25.01.30_mab
AM14,RSV B N201S,1,1000,F2,V1P3,mAb_1,0.05407,25.01.30_mab
AM14,RSV B N201S,1,285.7,F3,V1P3,mAb_1,0.1398,25.01.30_mab
AM14,RSV B N201S,1,81.63,F4,V1P3,mAb_1,0.09297,25.01.30_mab
AM14,RSV B N201S,1,23.32,F5,V1P3,mAb_1,0.2064,25.01.30_mab
AM14,RSV B N201S,1,6.664,F6,V1P3,mAb_1,0.182,25.01.30_mab
AM14,RSV B N201S,1,1.904,F7,V1P3,mAb_1,0.27,25.01.30_mab
AM14,RSV B N201S,1,0.544,F8,V1P3,mAb_1,0.31,25.01.30_mab
AM14,RSV B N201S,1,0.1554,F9,V1P3,mAb_1,0.7227,25.01.30_mab
AM14,RSV B N201S,1,0.04441,F10,V1P3,mAb_1,1.087,25.01.30_mab
AM14,RSV B N201S,2,1000,G2,V1P3,mAb_1,0.1066,25.01.30_mab
AM14,RSV B N201S,2,285.7,G3,V1P3,mAb_1,0.129,25.01.30_mab
AM14,RSV B N201S,2,81.63,G4,V1P3,mAb_1,0.1261,25.01.30_mab
AM14,RSV B N201S,2,23.32,G5,V1P3,mAb_1,0.195,25.01.30_mab
AM14,RSV B N201S,2,6.664,G6,V1P3,mAb_1,0.2099,25.01.30_mab
AM14,RSV B N201S,2,1.904,G7,V1P3,mAb_1,0.2759,25.01.30_mab
AM14,RSV B N201S,2,0.544,G8,V1P3,mAb_1,0.6206,25.01.30_mab
AM14,RSV B N201S,2,0.1554,G9,V1P3,mAb_1,1.033,25.01.30_mab
AM14,RSV B N201S,2,0.04441,G10,V1P3,mAb_1,0.8437,25.01.30_mab
hRSV90,RSV B N201S,1,1000,D2,V1P3,mAb_1,0.7958,25.01.30_mab
hRSV90,RSV B N201S,1,285.7,D3,V1P3,mAb_1,0.6769,25.01.30_mab
hRSV90,RSV B N201S,1,81.63,D4,V1P3,mAb_1,1.067,25.01.30_mab
hRSV90,RSV B N201S,1,23.32,D5,V1P3,mAb_1,0.8828,25.01.30_mab
hRSV90,RSV B N201S,1,6.664,D6,V1P3,mAb_1,0.6411,25.01.30_mab
hRSV90,RSV B N201S,1,1.904,D7,V1P3,mAb_1,0.9701,25.01.30_mab
hRSV90,RSV B N201S,1,0.544,D8,V1P3,mAb_1,0.9998,25.01.30_mab
hRSV90,RSV B N201S,1,0.1554,D9,V1P3,mAb_1,0.7328,25.01.30_mab
hRSV90,RSV B N201S,1,0.04441,D10,V1P3,mAb_1,0.8875,25.01.30_mab
hRSV90,RSV B N201S,2,1000,E2,V1P3,mAb_1,0.6947,25.01.30_mab
hRSV90,RSV B N201S,2,285.7,E3,V1P3,mAb_1,1.179,25.01.30_mab
hRSV90,RSV B N201S,2,81.63,E4,V1P3,mAb_1,1.055,25.01.30_mab
hRSV90,RSV B N201S,2,23.32,E5,V1P3,mAb_1,1.361,25.01.30_mab
hRSV90,RSV B N201S,2,6.664,E6,V1P3,mAb_1,0.748,25.01.30_mab
hRSV90,RSV B N201S,2,1.904,E7,V1P3,mAb_1,0.8306,25.01.30_mab
hRSV90,RSV B N201S,2,0.544,E8,V1P3,mAb_1,1.253,25.01.30_mab
hRSV90,RSV B N201S,2,0.1554,E9,V1P3,mAb_1,1.139,25.01.30_mab
hRSV90,RSV B N201S,2,0.04441,E10,V1P3,mAb_1,1.088,25.01.30_mab
Nirsevimab,RSV B N201T,1,1000,F2,V2P1,mAb_1,0.0657,25.01.30_mab
Nirsevimab,RSV B N201T,1,285.7,F3,V2P1,mAb_1,0.3026,25.01.30_mab
Nirsevimab,RSV B N201T,1,81.63,F4,V2P1,mAb_1,0.6684,25.01.30_mab
Nirsevimab,RSV B N201T,1,23.32,F5,V2P1,mAb_1,0.8674,25.01.30_mab
Nirsevimab,RSV B N201T,1,6.664,F6,V2P1,mAb_1,0.8911,25.01.30_mab
Nirsevimab,RSV B N201T,1,1.904,F7,V2P1,mAb_1,0.9054,25.01.30_mab
Nirsevimab,RSV B N201T,1,0.544,F8,V2P1,mAb_1,1.016,25.01.30_mab
Nirsevimab,RSV B N201T,1,0.1554,F9,V2P1,mAb_1,0.8642,25.01.30_mab
Nirsevimab,RSV B N201T,1,0.04441,F10,V2P1,mAb_1,1.01,25.01.30_mab
