serum,virus,replicate,concentration,well_id,plate_name,experiment_rep,fraction infectivity,input_folder
Nirsevimab,RSV B 1982,1,1000,F2,RSVB1982_mAbsP1,mAb_2,0.05648,24.12.13_RSVmAb_B1982_rep2
Nirsevimab,RSV B 1982,1,285.7,F3,RSVB1982_mAbsP1,mAb_2,0.01427,24.12.13_RSVmAb_B1982_rep2
Nirsevimab,RSV B 1982,1,81.63,F4,RSVB1982_mAbsP1,mAb_2,0.03581,24.12.13_RSVmAb_B1982_rep2
Nirsevimab,RSV B 1982,1,23.32,F5,RSVB1982_mAbsP1,mAb_2,0.1451,24.12.13_RSVmAb_B1982_rep2
Nirsevimab,RSV B 1982,1,6.664,F6,RSVB1982_mAbsP1,mAb_2,0.2328,24.12.13_RSVmAb_B1982_rep2
Nirsevimab,RSV B 1982,1,1.904,F7,RSVB1982_mAbsP1,mAb_2,0.8246,24.12.13_RSVmAb_B1982_rep2
Nirsevimab,RSV B 1982,1,0.544,F8,RSVB1982_mAbsP1,mAb_2,1.014,24.12.13_RSVmAb_B1982_rep2
Nirsevimab,RSV B 1982,1,0.1554,F9,RSVB1982_mAbsP1,mAb_2,1.07,24.12.13_RSVmAb_B1982_rep2
Nirsevimab,RSV B 1982,1,0.04441,F10,RSVB1982_mAbsP1,mAb_2,0.7306,24.12.13_RSVmAb_B1982_rep2
Nirsevimab,RSV B 1982,2,1000,G2,RSVB1982_mAbsP1,mAb_2,0.03389,24.12.13_RSVmAb_B1982_rep2
Nirsevimab,RSV B 1982,2,285.7,G3,RSVB1982_mAbsP1,mAb_2,0.01761,24.12.13_RSVmAb_B1982_rep2
Nirsevimab,RSV B 1982,2,81.63,G4,RSVB1982_mAbsP1,mAb_2,0.1384,24.12.13_RSVmAb_B1982_rep2
Nirsevimab,RSV B 1982,2,23.32,G5,RSVB1982_mAbsP1,mAb_2,0.1507,24.12.13_RSVmAb_B1982_rep2
Nirsevimab,RSV B 1982,2,6.664,G6,RSVB1982_mAbsP1,mAb_2,0.3383,24.12.13_RSVmAb_B1982_rep2
Nirsevimab,RSV B 1982,2,1.904,G7,RSVB1982_mAbsP1,mAb_2,0.6501,24.12.13_RSVmAb_B1982_rep2
Nirsevimab,RSV B 1982,2,0.544,G8,RSVB1982_mAbsP1,mAb_2,1.131,24.12.13_RSVmAb_B1982_rep2
Nirsevimab,RSV B 1982,2,0.1554,G9,RSVB1982_mAbsP1,mAb_2,1.038,24.12.13_RSVmAb_B1982_rep2
Nirsevimab,RSV B 1982,2,0.04441,G10,RSVB1982_mAbsP1,mAb_2,0.8094,24.12.13_RSVmAb_B1982_rep2
D25,RSV B 1982,1,1000,D2,RSVB1982_mAbsP1,mAb_2,0.01958,24.12.13_RSVmAb_B1982_rep2
D25,RSV B 1982,1,285.7,D3,RSVB1982_mAbsP1,mAb_2,0.08387,24.12.13_RSVmAb_B1982_rep2
D25,RSV B 1982,1,81.63,D4,RSVB1982_mAbsP1,mAb_2,0.02615,24.12.13_RSVmAb_B1982_rep2
D25,RSV B 1982,1,23.32,D5,RSVB1982_mAbsP1,mAb_2,0.08974,24.12.13_RSVmAb_B1982_rep2
D25,RSV B 1982,1,6.664,D6,RSVB1982_mAbsP1,mAb_2,0.3034,24.12.13_RSVmAb_B1982_rep2
D25,RSV B 1982,1,1.904,D7,RSVB1982_mAbsP1,mAb_2,1.225,24.12.13_RSVmAb_B1982_rep2
D25,RSV B 1982,1,0.544,D8,RSVB1982_mAbsP1,mAb_2,1.006,24.12.13_RSVmAb_B1982_rep2
D25,RSV B 1982,1,0.1554,D9,RSVB1982_mAbsP1,mAb_2,0.4162,24.12.13_RSVmAb_B1982_rep2
D25,RSV B 1982,1,0.04441,D10,RSVB1982_mAbsP1,mAb_2,1.162,24.12.13_RSVmAb_B1982_rep2
D25,RSV B 1982,2,1000,E2,RSVB1982_mAbsP1,mAb_2,0.02282,24.12.13_RSVmAb_B1982_rep2
D25,RSV B 1982,2,285.7,E3,RSVB1982_mAbsP1,mAb_2,0.03738,24.12.13_RSVmAb_B1982_rep2
D25,RSV B 1982,2,81.63,E4,RSVB1982_mAbsP1,mAb_2,0.06284,24.12.13_RSVmAb_B1982_rep2
D25,RSV B 1982,2,23.32,E5,RSVB1982_mAbsP1,mAb_2,0.1711,24.12.13_RSVmAb_B1982_rep2
D25,RSV B 1982,2,6.664,E6,RSVB1982_mAbsP1,mAb_2,0.699,24.12.13_RSVmAb_B1982_rep2
D25,RSV B 1982,2,1.904,E7,RSVB1982_mAbsP1,mAb_2,0.9458,24.12.13_RSVmAb_B1982_rep2
D25,RSV B 1982,2,0.544,E8,RSVB1982_mAbsP1,mAb_2,0.4512,24.12.13_RSVmAb_B1982_rep2
D25,RSV B 1982,2,0.1554,E9,RSVB1982_mAbsP1,mAb_2,0.9284,24.12.13_RSVmAb_B1982_rep2
D25,RSV B 1982,2,0.04441,E10,RSVB1982_mAbsP1,mAb_2,0.5428,24.12.13_RSVmAb_B1982_rep2
Suptavumab,RSV B 1982,1,1000,B2,RSVB1982_mAbsP1,mAb_2,0.1149,24.12.13_RSVmAb_B1982_rep2
Suptavumab,RSV B 1982,1,285.7,B3,RSVB1982_mAbsP1,mAb_2,0.02791,24.12.13_RSVmAb_B1982_rep2
Suptavumab,RSV B 1982,1,81.63,B4,RSVB1982_mAbsP1,mAb_2,0.02462,24.12.13_RSVmAb_B1982_rep2
Suptavumab,RSV B 1982,1,23.32,B5,RSVB1982_mAbsP1,mAb_2,0.08366,24.12.13_RSVmAb_B1982_rep2
Suptavumab,RSV B 1982,1,6.664,B6,RSVB1982_mAbsP1,mAb_2,0.1533,24.12.13_RSVmAb_B1982_rep2
Suptavumab,RSV B 1982,1,1.904,B7,RSVB1982_mAbsP1,mAb_2,0.5135,24.12.13_RSVmAb_B1982_rep2
Suptavumab,RSV B 1982,1,0.544,B8,RSVB1982_mAbsP1,mAb_2,0.8801,24.12.13_RSVmAb_B1982_rep2
Suptavumab,RSV B 1982,1,0.1554,B9,RSVB1982_mAbsP1,mAb_2,0.4334,24.12.13_RSVmAb_B1982_rep2
Suptavumab,RSV B 1982,1,0.04441,B10,RSVB1982_mAbsP1,mAb_2,0.7572,24.12.13_RSVmAb_B1982_rep2
Suptavumab,RSV B 1982,2,1000,C2,RSVB1982_mAbsP1,mAb_2,0.05447,24.12.13_RSVmAb_B1982_rep2
Suptavumab,RSV B 1982,2,285.7,C3,RSVB1982_mAbsP1,mAb_2,0.05985,24.12.13_RSVmAb_B1982_rep2
Suptavumab,RSV B 1982,2,81.63,C4,RSVB1982_mAbsP1,mAb_2,0.04214,24.12.13_RSVmAb_B1982_rep2
Suptavumab,RSV B 1982,2,23.32,C5,RSVB1982_mAbsP1,mAb_2,0.02939,24.12.13_RSVmAb_B1982_rep2
Suptavumab,RSV B 1982,2,6.664,C6,RSVB1982_mAbsP1,mAb_2,0.3053,24.12.13_RSVmAb_B1982_rep2
Suptavumab,RSV B 1982,2,1.904,C7,RSVB1982_mAbsP1,mAb_2,1.318,24.12.13_RSVmAb_B1982_rep2
Suptavumab,RSV B 1982,2,0.544,C8,RSVB1982_mAbsP1,mAb_2,0.6066,24.12.13_RSVmAb_B1982_rep2
Suptavumab,RSV B 1982,2,0.1554,C9,RSVB1982_mAbsP1,mAb_2,0.4102,24.12.13_RSVmAb_B1982_rep2
Suptavumab,RSV B 1982,2,0.04441,C10,RSVB1982_mAbsP1,mAb_2,0.7224,24.12.13_RSVmAb_B1982_rep2
Palivizumab,RSV B 1982,1,1000,F2,RSVB1982_mAbsP2,mAb_2,0.06644,24.12.13_RSVmAb_B1982_rep2
Palivizumab,RSV B 1982,1,285.7,F3,RSVB1982_mAbsP2,mAb_2,0.1668,24.12.13_RSVmAb_B1982_rep2
Palivizumab,RSV B 1982,1,81.63,F4,RSVB1982_mAbsP2,mAb_2,0.8507,24.12.13_RSVmAb_B1982_rep2
Palivizumab,RSV B 1982,1,23.32,F5,RSVB1982_mAbsP2,mAb_2,1.559,24.12.13_RSVmAb_B1982_rep2
Palivizumab,RSV B 1982,1,6.664,F6,RSVB1982_mAbsP2,mAb_2,1.261,24.12.13_RSVmAb_B1982_rep2
Palivizumab,RSV B 1982,1,1.904,F7,RSVB1982_mAbsP2,mAb_2,1.169,24.12.13_RSVmAb_B1982_rep2
Palivizumab,RSV B 1982,1,0.544,F8,RSVB1982_mAbsP2,mAb_2,1.282,24.12.13_RSVmAb_B1982_rep2
Palivizumab,RSV B 1982,1,0.1554,F9,RSVB1982_mAbsP2,mAb_2,0.6537,24.12.13_RSVmAb_B1982_rep2
Palivizumab,RSV B 1982,1,0.04441,F10,RSVB1982_mAbsP2,mAb_2,0.992,24.12.13_RSVmAb_B1982_rep2
Palivizumab,RSV B 1982,2,1000,G2,RSVB1982_mAbsP2,mAb_2,0.07378,24.12.13_RSVmAb_B1982_rep2
Palivizumab,RSV B 1982,2,285.7,G3,RSVB1982_mAbsP2,mAb_2,0.2119,24.12.13_RSVmAb_B1982_rep2
Palivizumab,RSV B 1982,2,81.63,G4,RSVB1982_mAbsP2,mAb_2,0.6487,24.12.13_RSVmAb_B1982_rep2
Palivizumab,RSV B 1982,2,23.32,G5,RSVB1982_mAbsP2,mAb_2,1.234,24.12.13_RSVmAb_B1982_rep2
Palivizumab,RSV B 1982,2,6.664,G6,RSVB1982_mAbsP2,mAb_2,1.195,24.12.13_RSVmAb_B1982_rep2
Palivizumab,RSV B 1982,2,1.904,G7,RSVB1982_mAbsP2,mAb_2,0.7206,24.12.13_RSVmAb_B1982_rep2
Palivizumab,RSV B 1982,2,0.544,G8,RSVB1982_mAbsP2,mAb_2,0.7803,24.12.13_RSVmAb_B1982_rep2
Palivizumab,RSV B 1982,2,0.1554,G9,RSVB1982_mAbsP2,mAb_2,1.247,24.12.13_RSVmAb_B1982_rep2
Palivizumab,RSV B 1982,2,0.04441,G10,RSVB1982_mAbsP2,mAb_2,1.133,24.12.13_RSVmAb_B1982_rep2
Clesrovimab,RSV B 1982,1,1000,D2,RSVB1982_mAbsP2,mAb_2,0.01985,24.12.13_RSVmAb_B1982_rep2
Clesrovimab,RSV B 1982,1,285.7,D3,RSVB1982_mAbsP2,mAb_2,0.07661,24.12.13_RSVmAb_B1982_rep2
Clesrovimab,RSV B 1982,1,81.63,D4,RSVB1982_mAbsP2,mAb_2,0.04164,24.12.13_RSVmAb_B1982_rep2
Clesrovimab,RSV B 1982,1,23.32,D5,RSVB1982_mAbsP2,mAb_2,0.05033,24.12.13_RSVmAb_B1982_rep2
Clesrovimab,RSV B 1982,1,6.664,D6,RSVB1982_mAbsP2,mAb_2,0.1814,24.12.13_RSVmAb_B1982_rep2
Clesrovimab,RSV B 1982,1,1.904,D7,RSVB1982_mAbsP2,mAb_2,0.3823,24.12.13_RSVmAb_B1982_rep2
Clesrovimab,RSV B 1982,1,0.544,D8,RSVB1982_mAbsP2,mAb_2,0.423,24.12.13_RSVmAb_B1982_rep2
Clesrovimab,RSV B 1982,1,0.1554,D9,RSVB1982_mAbsP2,mAb_2,0.6284,24.12.13_RSVmAb_B1982_rep2
Clesrovimab,RSV B 1982,1,0.04441,D10,RSVB1982_mAbsP2,mAb_2,0.7013,24.12.13_RSVmAb_B1982_rep2
Clesrovimab,RSV B 1982,2,1000,E2,RSVB1982_mAbsP2,mAb_2,0.0179,24.12.13_RSVmAb_B1982_rep2
Clesrovimab,RSV B 1982,2,285.7,E3,RSVB1982_mAbsP2,mAb_2,0.07459,24.12.13_RSVmAb_B1982_rep2
Clesrovimab,RSV B 1982,2,81.63,E4,RSVB1982_mAbsP2,mAb_2,0.1068,24.12.13_RSVmAb_B1982_rep2
Clesrovimab,RSV B 1982,2,23.32,E5,RSVB1982_mAbsP2,mAb_2,0.07444,24.12.13_RSVmAb_B1982_rep2
Clesrovimab,RSV B 1982,2,6.664,E6,RSVB1982_mAbsP2,mAb_2,0.09196,24.12.13_RSVmAb_B1982_rep2
Clesrovimab,RSV B 1982,2,1.904,E7,RSVB1982_mAbsP2,mAb_2,0.37,24.12.13_RSVmAb_B1982_rep2
Clesrovimab,RSV B 1982,2,0.544,E8,RSVB1982_mAbsP2,mAb_2,0.9581,24.12.13_RSVmAb_B1982_rep2
Clesrovimab,RSV B 1982,2,0.1554,E9,RSVB1982_mAbsP2,mAb_2,0.4423,24.12.13_RSVmAb_B1982_rep2
Clesrovimab,RSV B 1982,2,0.04441,E10,RSVB1982_mAbsP2,mAb_2,0.8983,24.12.13_RSVmAb_B1982_rep2
