serum,virus,replicate,concentration,fraction infectivity,input_folder,experiment_rep
Nirsevimab,RSV B K68Q,1,1000,0.47062515,24.09.26_mAb2,mAb_2
Nirsevimab,RSV B K68Q,1,285.71,0.65207697,24.09.26_mAb2,mAb_2
Nirsevimab,RSV B K68Q,1,81.63,0.7591048,24.09.26_mAb2,mAb_2
Nirsevimab,RSV B K68Q,1,23.32,0.87653811,24.09.26_mAb2,mAb_2
Nirsevimab,RSV B K68Q,1,6.66,0.6951854,24.09.26_mAb2,mAb_2
Nirsevimab,RSV B K68Q,1,1.9,0.84631266,24.09.26_mAb2,mAb_2
Nirsevimab,RSV B K68Q,1,0.54,0.88793459,24.09.26_mAb2,mAb_2
Nirsevimab,RSV B K68Q,1,0.16,0.71252787,24.09.26_mAb2,mAb_2
Nirsevimab,RSV B K68Q,1,0.04,0.83243868,24.09.26_mAb2,mAb_2
Nirsevimab,RSV B K68Q,2,1000,0.43435461,24.09.26_mAb2,mAb_2
Nirsevimab,RSV B K68Q,2,285.71,0.64613098,24.09.26_mAb2,mAb_2
Nirsevimab,RSV B K68Q,2,81.63,0.78982575,24.09.26_mAb2,mAb_2
Nirsevimab,RSV B K68Q,2,23.32,0.8215377,24.09.26_mAb2,mAb_2
Nirsevimab,RSV B K68Q,2,6.66,0.93550252,24.09.26_mAb2,mAb_2
Nirsevimab,RSV B K68Q,2,1.9,0.85572715,24.09.26_mAb2,mAb_2
Nirsevimab,RSV B K68Q,2,0.54,0.7581138,24.09.26_mAb2,mAb_2
Nirsevimab,RSV B K68Q,2,0.16,0.75365431,24.09.26_mAb2,mAb_2
Nirsevimab,RSV B K68Q,2,0.04,0.84581716,24.09.26_mAb2,mAb_2
Nirsevimab,RSV A 1982,1,1000,0.00474638,24.09.26_mAb2,mAb_2
Nirsevimab,RSV A 1982,1,285.71,0.00059294,24.09.26_mAb2,mAb_2
Nirsevimab,RSV A 1982,1,81.63,0.00049801,24.09.26_mAb2,mAb_2
Nirsevimab,RSV A 1982,1,23.32,0.01382891,24.09.26_mAb2,mAb_2
Nirsevimab,RSV A 1982,1,6.66,0.31555096,24.09.26_mAb2,mAb_2
Nirsevimab,RSV A 1982,1,1.9,0.79042773,24.09.26_mAb2,mAb_2
Nirsevimab,RSV A 1982,1,0.54,0.96883447,24.09.26_mAb2,mAb_2
Nirsevimab,RSV A 1982,1,0.16,1.08809032,24.09.26_mAb2,mAb_2
Nirsevimab,RSV A 1982,1,0.04,0.96406424,24.09.26_mAb2,mAb_2
Nirsevimab,RSV A 1982,2,1000,0.00050851,24.09.26_mAb2,mAb_2
Nirsevimab,RSV A 1982,2,285.71,0.00032638,24.09.26_mAb2,mAb_2
Nirsevimab,RSV A 1982,2,81.63,0.00334298,24.09.26_mAb2,mAb_2
Nirsevimab,RSV A 1982,2,23.32,0.00769916,24.09.26_mAb2,mAb_2
Nirsevimab,RSV A 1982,2,6.66,0.31469232,24.09.26_mAb2,mAb_2
Nirsevimab,RSV A 1982,2,1.9,0.71696613,24.09.26_mAb2,mAb_2
Nirsevimab,RSV A 1982,2,0.54,1.04611226,24.09.26_mAb2,mAb_2
Nirsevimab,RSV A 1982,2,0.16,1.0489744,24.09.26_mAb2,mAb_2
Nirsevimab,RSV A 1982,2,0.04,0.96167912,24.09.26_mAb2,mAb_2
Nirsevimab,RSV A 2020,1,1000,0.00063935,24.09.26_mAb2,mAb_2
Nirsevimab,RSV A 2020,1,285.71,0.00116284,24.09.26_mAb2,mAb_2
Nirsevimab,RSV A 2020,1,81.63,0.00214732,24.09.26_mAb2,mAb_2
Nirsevimab,RSV A 2020,1,23.32,0.01700807,24.09.26_mAb2,mAb_2
Nirsevimab,RSV A 2020,1,6.66,0.22416718,24.09.26_mAb2,mAb_2
Nirsevimab,RSV A 2020,1,1.9,0.57893648,24.09.26_mAb2,mAb_2
Nirsevimab,RSV A 2020,1,0.54,0.98406787,24.09.26_mAb2,mAb_2
Nirsevimab,RSV A 2020,1,0.16,0.87812953,24.09.26_mAb2,mAb_2
Nirsevimab,RSV A 2020,1,0.04,0.87233602,24.09.26_mAb2,mAb_2
Nirsevimab,RSV A 2020,2,1000,0.00045851,24.09.26_mAb2,mAb_2
Nirsevimab,RSV A 2020,2,285.71,0.0006137,24.09.26_mAb2,mAb_2
Nirsevimab,RSV A 2020,2,81.63,0.0006017,24.09.26_mAb2,mAb_2
Nirsevimab,RSV A 2020,2,23.32,0.00882682,24.09.26_mAb2,mAb_2
Nirsevimab,RSV A 2020,2,6.66,0.24196151,24.09.26_mAb2,mAb_2
Nirsevimab,RSV A 2020,2,1.9,0.58638527,24.09.26_mAb2,mAb_2
Nirsevimab,RSV A 2020,2,0.54,0.81936685,24.09.26_mAb2,mAb_2
Nirsevimab,RSV A 2020,2,0.16,0.96254914,24.09.26_mAb2,mAb_2
Nirsevimab,RSV A 2020,2,0.04,0.98944755,24.09.26_mAb2,mAb_2
Nirsevimab,RSV B 2024,1,1000,0.00728575,24.09.26_mAb2,mAb_2
Nirsevimab,RSV B 2024,1,285.71,0.010923628,24.09.26_mAb2,mAb_2
Nirsevimab,RSV B 2024,1,81.63,0.003622387,24.09.26_mAb2,mAb_2
Nirsevimab,RSV B 2024,1,23.32,0.004057133,24.09.26_mAb2,mAb_2
Nirsevimab,RSV B 2024,1,6.66,0.070159074,24.09.26_mAb2,mAb_2
Nirsevimab,RSV B 2024,1,1.9,0.50070792,24.09.26_mAb2,mAb_2
Nirsevimab,RSV B 2024,1,0.54,0.813525443,24.09.26_mAb2,mAb_2
Nirsevimab,RSV B 2024,1,0.16,0.878487549,24.09.26_mAb2,mAb_2
Nirsevimab,RSV B 2024,1,0.04,0.851003581,24.09.26_mAb2,mAb_2
Nirsevimab,RSV B 2024,2,1000,0.002686433,24.09.26_mAb2,mAb_2
Nirsevimab,RSV B 2024,2,285.71,0.007555593,24.09.26_mAb2,mAb_2
Nirsevimab,RSV B 2024,2,81.63,0.00768052,24.09.26_mAb2,mAb_2
Nirsevimab,RSV B 2024,2,23.32,0.004821188,24.09.26_mAb2,mAb_2
Nirsevimab,RSV B 2024,2,6.66,0.098942284,24.09.26_mAb2,mAb_2
Nirsevimab,RSV B 2024,2,1.9,0.471125177,24.09.26_mAb2,mAb_2
Nirsevimab,RSV B 2024,2,0.54,0.649621054,24.09.26_mAb2,mAb_2
Nirsevimab,RSV B 2024,2,0.16,0.733072374,24.09.26_mAb2,mAb_2
Nirsevimab,RSV B 2024,2,0.04,0.772049638,24.09.26_mAb2,mAb_2
Nirsevimab,RSV Long,1,1000,0.00005621,24.09.26_mAb2,mAb_2
Nirsevimab,RSV Long,1,285.71,0.00004791,24.09.26_mAb2,mAb_2
Nirsevimab,RSV Long,1,81.63,0.00008256,24.09.26_mAb2,mAb_2
Nirsevimab,RSV Long,1,23.32,0.00020509,24.09.26_mAb2,mAb_2
Nirsevimab,RSV Long,1,6.66,0.0174564,24.09.26_mAb2,mAb_2
Nirsevimab,RSV Long,1,1.9,0.27447227,24.09.26_mAb2,mAb_2
Nirsevimab,RSV Long,1,0.54,0.60062934,24.09.26_mAb2,mAb_2
Nirsevimab,RSV Long,1,0.16,0.85079323,24.09.26_mAb2,mAb_2
Nirsevimab,RSV Long,1,0.04,0.91884096,24.09.26_mAb2,mAb_2
Nirsevimab,RSV Long,2,1000,0.00004637,24.09.26_mAb2,mAb_2
Nirsevimab,RSV Long,2,285.71,0.00002869,24.09.26_mAb2,mAb_2
Nirsevimab,RSV Long,2,81.63,0.00008016,24.09.26_mAb2,mAb_2
Nirsevimab,RSV Long,2,23.32,0.0001184,24.09.26_mAb2,mAb_2
Nirsevimab,RSV Long,2,6.66,0.02443425,24.09.26_mAb2,mAb_2
Nirsevimab,RSV Long,2,1.9,0.24780385,24.09.26_mAb2,mAb_2
Nirsevimab,RSV Long,2,0.54,0.56640881,24.09.26_mAb2,mAb_2
Nirsevimab,RSV Long,2,0.16,0.9341812,24.09.26_mAb2,mAb_2
Nirsevimab,RSV Long,2,0.04,0.84961322,24.09.26_mAb2,mAb_2
Nirsevimab,RSV A2,1,1000,0.00022582,24.09.26_mAb2,mAb_2
Nirsevimab,RSV A2,1,285.71,0.00033969,24.09.26_mAb2,mAb_2
Nirsevimab,RSV A2,1,81.63,0.00050096,24.09.26_mAb2,mAb_2
Nirsevimab,RSV A2,1,23.32,0.00048356,24.09.26_mAb2,mAb_2
Nirsevimab,RSV A2,1,6.66,0.07393865,24.09.26_mAb2,mAb_2
Nirsevimab,RSV A2,1,1.9,0.60121297,24.09.26_mAb2,mAb_2
Nirsevimab,RSV A2,1,0.54,0.87175881,24.09.26_mAb2,mAb_2
Nirsevimab,RSV A2,1,0.16,0.90181946,24.09.26_mAb2,mAb_2
Nirsevimab,RSV A2,1,0.04,1.15337963,24.09.26_mAb2,mAb_2
Nirsevimab,RSV A2,2,1000,0.00027176,24.09.26_mAb2,mAb_2
Nirsevimab,RSV A2,2,285.71,0.00021148,24.09.26_mAb2,mAb_2
