,serum,virus,replicate,concentration,well_id,plate_name,experiment_rep,fraction infectivity,input_folder,Unnamed: 9
1440,Nirsevimab,RSV B N201T,1,1000.0,F2,V3P1,mAb_2,0.1712,25.01.30_mab,
1441,Nirsevimab,RSV B N201T,1,285.7,F3,V3P1,mAb_2,0.43,25.01.30_mab,
1442,Nirsevimab,RSV B N201T,1,81.63,F4,V3P1,mAb_2,0.8137,25.01.30_mab,
1443,Nirsevimab,RSV B N201T,1,23.32,F5,V3P1,mAb_2,1.061,25.01.30_mab,
1444,Nirsevimab,RSV B N201T,1,6.664,F6,V3P1,mAb_2,0.9569,25.01.30_mab,
1445,Nirsevimab,RSV B N201T,1,1.904,F7,V3P1,mAb_2,0.7779,25.01.30_mab,
1446,Nirsevimab,RSV B N201T,1,0.544,F8,V3P1,mAb_2,1.069,25.01.30_mab,
1447,Nirsevimab,RSV B N201T,1,0.1554,F9,V3P1,mAb_2,1.009,25.01.30_mab,
1448,Nirsevimab,RSV B N201T,1,0.04441,F10,V3P1,mAb_2,0.9345,25.01.30_mab,
1449,Nirsevimab,RSV B N201T,2,1000.0,G2,V3P1,mAb_2,0.1044,25.01.30_mab,
1450,Nirsevimab,RSV B N201T,2,285.7,G3,V3P1,mAb_2,0.5327,25.01.30_mab,
1451,Nirsevimab,RSV B N201T,2,81.63,G4,V3P1,mAb_2,0.7928,25.01.30_mab,
1452,Nirsevimab,RSV B N201T,2,23.32,G5,V3P1,mAb_2,1.003,25.01.30_mab,
1453,Nirsevimab,RSV B N201T,2,6.664,G6,V3P1,mAb_2,1.09,25.01.30_mab,
1454,Nirsevimab,RSV B N201T,2,1.904,G7,V3P1,mAb_2,0.7533,25.01.30_mab,
1455,Nirsevimab,RSV B N201T,2,0.544,G8,V3P1,mAb_2,0.9285,25.01.30_mab,
1456,Nirsevimab,RSV B N201T,2,0.1554,G9,V3P1,mAb_2,1.125,25.01.30_mab,
1457,Nirsevimab,RSV B N201T,2,0.04441,G10,V3P1,mAb_2,1.113,25.01.30_mab,
1458,D25,RSV B N201T,1,1000.0,D2,V3P1,mAb_2,0.8972,25.01.30_mab,
1459,D25,RSV B N201T,1,285.7,D3,V3P1,mAb_2,1.042,25.01.30_mab,
1460,D25,RSV B N201T,1,81.63,D4,V3P1,mAb_2,1.226,25.01.30_mab,
1461,D25,RSV B N201T,1,23.32,D5,V3P1,mAb_2,1.08,25.01.30_mab,
1462,D25,RSV B N201T,1,6.664,D6,V3P1,mAb_2,1.058,25.01.30_mab,
1463,D25,RSV B N201T,1,1.904,D7,V3P1,mAb_2,0.9792,25.01.30_mab,
1464,D25,RSV B N201T,1,0.544,D8,V3P1,mAb_2,1.307,25.01.30_mab,
1465,D25,RSV B N201T,1,0.1554,D9,V3P1,mAb_2,1.217,25.01.30_mab,
1466,D25,RSV B N201T,1,0.04441,D10,V3P1,mAb_2,1.028,25.01.30_mab,
1467,D25,RSV B N201T,2,1000.0,E2,V3P1,mAb_2,1.07,25.01.30_mab,
1468,D25,RSV B N201T,2,285.7,E3,V3P1,mAb_2,1.024,25.01.30_mab,
1469,D25,RSV B N201T,2,81.63,E4,V3P1,mAb_2,1.317,25.01.30_mab,
1470,D25,RSV B N201T,2,23.32,E5,V3P1,mAb_2,1.341,25.01.30_mab,
1471,D25,RSV B N201T,2,6.664,E6,V3P1,mAb_2,1.131,25.01.30_mab,
1472,D25,RSV B N201T,2,1.904,E7,V3P1,mAb_2,0.8607,25.01.30_mab,
1473,D25,RSV B N201T,2,0.544,E8,V3P1,mAb_2,0.9874,25.01.30_mab,
1474,D25,RSV B N201T,2,0.1554,E9,V3P1,mAb_2,1.128,25.01.30_mab,
1475,D25,RSV B N201T,2,0.04441,E10,V3P1,mAb_2,1.039,25.01.30_mab,
1476,Suptavumab,RSV B N201T,1,1000.0,B2,V3P1,mAb_2,0.9949,25.01.30_mab,
1477,Suptavumab,RSV B N201T,1,285.7,B3,V3P1,mAb_2,1.005,25.01.30_mab,
1478,Suptavumab,RSV B N201T,1,81.63,B4,V3P1,mAb_2,0.8457,25.01.30_mab,
1479,Suptavumab,RSV B N201T,1,23.32,B5,V3P1,mAb_2,1.011,25.01.30_mab,
1480,Suptavumab,RSV B N201T,1,6.664,B6,V3P1,mAb_2,0.9807,25.01.30_mab,
1481,Suptavumab,RSV B N201T,1,1.904,B7,V3P1,mAb_2,0.9226,25.01.30_mab,
1482,Suptavumab,RSV B N201T,1,0.544,B8,V3P1,mAb_2,0.886,25.01.30_mab,
1483,Suptavumab,RSV B N201T,1,0.1554,B9,V3P1,mAb_2,1.131,25.01.30_mab,
1484,Suptavumab,RSV B N201T,1,0.04441,B10,V3P1,mAb_2,0.8741,25.01.30_mab,
1485,Suptavumab,RSV B N201T,2,1000.0,C2,V3P1,mAb_2,0.9039,25.01.30_mab,
1486,Suptavumab,RSV B N201T,2,285.7,C3,V3P1,mAb_2,0.8368,25.01.30_mab,
1487,Suptavumab,RSV B N201T,2,81.63,C4,V3P1,mAb_2,1.119,25.01.30_mab,
1488,Suptavumab,RSV B N201T,2,23.32,C5,V3P1,mAb_2,1.19,25.01.30_mab,
1489,Suptavumab,RSV B N201T,2,6.664,C6,V3P1,mAb_2,1.303,25.01.30_mab,
1490,Suptavumab,RSV B N201T,2,1.904,C7,V3P1,mAb_2,1.081,25.01.30_mab,
1491,Suptavumab,RSV B N201T,2,0.544,C8,V3P1,mAb_2,0.8636,25.01.30_mab,
1492,Suptavumab,RSV B N201T,2,0.1554,C9,V3P1,mAb_2,0.9591,25.01.30_mab,
1493,Suptavumab,RSV B N201T,2,0.04441,C10,V3P1,mAb_2,0.883,25.01.30_mab,
1494,Palivizumab,RSV B N201T,1,1000.0,F2,V3P2,mAb_2,0.09104,25.01.30_mab,
1495,Palivizumab,RSV B N201T,1,285.7,F3,V3P2,mAb_2,0.7736,25.01.30_mab,
1496,Palivizumab,RSV B N201T,1,81.63,F4,V3P2,mAb_2,1.682,25.01.30_mab,
1497,Palivizumab,RSV B N201T,1,23.32,F5,V3P2,mAb_2,1.495,25.01.30_mab,
1498,Palivizumab,RSV B N201T,1,6.664,F6,V3P2,mAb_2,1.188,25.01.30_mab,
1499,Palivizumab,RSV B N201T,1,1.904,F7,V3P2,mAb_2,0.8919,25.01.30_mab,
1500,Palivizumab,RSV B N201T,1,0.544,F8,V3P2,mAb_2,1.092,25.01.30_mab,
1501,Palivizumab,RSV B N201T,1,0.1554,F9,V3P2,mAb_2,1.176,25.01.30_mab,
1502,Palivizumab,RSV B N201T,1,0.04441,F10,V3P2,mAb_2,1.01,25.01.30_mab,
1503,Palivizumab,RSV B N201T,2,1000.0,G2,V3P2,mAb_2,0.03557,25.01.30_mab,
1504,Palivizumab,RSV B N201T,2,285.7,G3,V3P2,mAb_2,0.7152,25.01.30_mab,
1505,Palivizumab,RSV B N201T,2,81.63,G4,V3P2,mAb_2,1.623,25.01.30_mab,
1506,Palivizumab,RSV B N201T,2,23.32,G5,V3P2,mAb_2,1.255,25.01.30_mab,
1507,Palivizumab,RSV B N201T,2,6.664,G6,V3P2,mAb_2,1.063,25.01.30_mab,
1508,Palivizumab,RSV B N201T,2,1.904,G7,V3P2,mAb_2,1.149,25.01.30_mab,
1509,Palivizumab,RSV B N201T,2,0.544,G8,V3P2,mAb_2,1.041,25.01.30_mab,
1510,Palivizumab,RSV B N201T,2,0.1554,G9,V3P2,mAb_2,0.9525,25.01.30_mab,
1511,Palivizumab,RSV B N201T,2,0.04441,G10,V3P2,mAb_2,0.9089,25.01.30_mab,
1512,Clesrovimab,RSV B N201T,1,1000.0,D2,V3P2,mAb_2,0.008793,25.01.30_mab,
1513,Clesrovimab,RSV B N201T,1,285.7,D3,V3P2,mAb_2,0.00994,25.01.30_mab,
1514,Clesrovimab,RSV B N201T,1,81.63,D4,V3P2,mAb_2,0.01743,25.01.30_mab,
1515,Clesrovimab,RSV B N201T,1,23.32,D5,V3P2,mAb_2,0.01044,25.01.30_mab,
1516,Clesrovimab,RSV B N201T,1,6.664,D6,V3P2,mAb_2,0.1235,25.01.30_mab,
1517,Clesrovimab,RSV B N201T,1,1.904,D7,V3P2,mAb_2,0.4874,25.01.30_mab,
1518,Clesrovimab,RSV B N201T,1,0.544,D8,V3P2,mAb_2,0.6712,25.01.30_mab,
1519,Clesrovimab,RSV B N201T,1,0.1554,D9,V3P2,mAb_2,0.9903,25.01.30_mab,
1520,Clesrovimab,RSV B N201T,1,0.04441,D10,V3P2,mAb_2,1.021,25.01.30_mab,
1521,Clesrovimab,RSV B N201T,2,1000.0,E2,V3P2,mAb_2,0.02293,25.01.30_mab,
1522,Clesrovimab,RSV B N201T,2,285.7,E3,V3P2,mAb_2,0.009688,25.01.30_mab,
1523,Clesrovimab,RSV B N201T,2,81.63,E4,V3P2,mAb_2,0.02872,25.01.30_mab,
1524,Clesrovimab,RSV B N201T,2,23.32,E5,V3P2,mAb_2,0.02054,25.01.30_mab,
1525,Clesrovimab,RSV B N201T,2,6.664,E6,V3P2,mAb_2,0.0846,25.01.30_mab,
1526,Clesrovimab,RSV B N201T,2,1.904,E7,V3P2,mAb_2,0.2987,25.01.30_mab,
1527,Clesrovimab,RSV B N201T,2,0.544,E8,V3P2,mAb_2,0.4945,25.01.30_mab,
1528,Clesrovimab,RSV B N201T,2,0.1554,E9,V3P2,mAb_2,1.231,25.01.30_mab,
1529,Clesrovimab,RSV B N201T,2,0.04441,E10,V3P2,mAb_2,0.8623,25.01.30_mab,
1530,MPE8,RSV B N201T,1,1000.0,B2,V3P2,mAb_2,0.02099,25.01.30_mab,
1531,MPE8,RSV B N201T,1,285.7,B3,V3P2,mAb_2,0.02131,25.01.30_mab,
1532,MPE8,RSV B N201T,1,81.63,B4,V3P2,mAb_2,0.006779,25.01.30_mab,
1533,MPE8,RSV B N201T,1,23.32,B5,V3P2,mAb_2,0.04722,25.01.30_mab,
1534,MPE8,RSV B N201T,1,6.664,B6,V3P2,mAb_2,0.3074,25.01.30_mab,
1535,MPE8,RSV B N201T,1,1.904,B7,V3P2,mAb_2,0.8246,25.01.30_mab,
1536,MPE8,RSV B N201T,1,0.544,B8,V3P2,mAb_2,0.7773,25.01.30_mab,
1537,MPE8,RSV B N201T,1,0.1554,B9,V3P2,mAb_2,0.9659,25.01.30_mab,
1538,MPE8,RSV B N201T,1,0.04441,B10,V3P2,mAb_2,1.074,25.01.30_mab,
1539,MPE8,RSV B N201T,2,1000.0,C2,V3P2,mAb_2,0.0151,25.01.30_mab,
