,serum,virus,replicate,concentration,well_id,plate_name,experiment_rep,fraction infectivity,input_folder,Unnamed: 9
1152,Nirsevimab,RSV B N201S,1,1000.0,F2,V1P1,mAb_1,0.4962,25.01.30_mab,
1153,Nirsevimab,RSV B N201S,1,285.7,F3,V1P1,mAb_1,0.8549,25.01.30_mab,
1154,Nirsevimab,RSV B N201S,1,81.63,F4,V1P1,mAb_1,0.5711,25.01.30_mab,
1155,Nirsevimab,RSV B N201S,1,23.32,F5,V1P1,mAb_1,0.7393,25.01.30_mab,
1156,Nirsevimab,RSV B N201S,1,6.664,F6,V1P1,mAb_1,1.029,25.01.30_mab,
1157,Nirsevimab,RSV B N201S,1,1.904,F7,V1P1,mAb_1,0.8057,25.01.30_mab,
1158,Nirsevimab,RSV B N201S,1,0.544,F8,V1P1,mAb_1,0.6174,25.01.30_mab,
1159,Nirsevimab,RSV B N201S,1,0.1554,F9,V1P1,mAb_1,0.8768,25.01.30_mab,
1160,Nirsevimab,RSV B N201S,1,0.04441,F10,V1P1,mAb_1,0.8231,25.01.30_mab,
1161,Nirsevimab,RSV B N201S,2,1000.0,G2,V1P1,mAb_1,0.3009,25.01.30_mab,
1162,Nirsevimab,RSV B N201S,2,285.7,G3,V1P1,mAb_1,0.6478,25.01.30_mab,
1163,Nirsevimab,RSV B N201S,2,81.63,G4,V1P1,mAb_1,1.127,25.01.30_mab,
1164,Nirsevimab,RSV B N201S,2,23.32,G5,V1P1,mAb_1,0.9298,25.01.30_mab,
1165,Nirsevimab,RSV B N201S,2,6.664,G6,V1P1,mAb_1,1.173,25.01.30_mab,
1166,Nirsevimab,RSV B N201S,2,1.904,G7,V1P1,mAb_1,1.055,25.01.30_mab,
1167,Nirsevimab,RSV B N201S,2,0.544,G8,V1P1,mAb_1,0.8573,25.01.30_mab,
1168,Nirsevimab,RSV B N201S,2,0.1554,G9,V1P1,mAb_1,0.6421,25.01.30_mab,
1169,Nirsevimab,RSV B N201S,2,0.04441,G10,V1P1,mAb_1,0.8888,25.01.30_mab,
1170,D25,RSV B N201S,1,1000.0,D2,V1P1,mAb_1,1.294,25.01.30_mab,
1171,D25,RSV B N201S,1,285.7,D3,V1P1,mAb_1,0.922,25.01.30_mab,
1172,D25,RSV B N201S,1,81.63,D4,V1P1,mAb_1,1.053,25.01.30_mab,
1173,D25,RSV B N201S,1,23.32,D5,V1P1,mAb_1,1.339,25.01.30_mab,
1174,D25,RSV B N201S,1,6.664,D6,V1P1,mAb_1,1.205,25.01.30_mab,
1175,D25,RSV B N201S,1,1.904,D7,V1P1,mAb_1,1.114,25.01.30_mab,
1176,D25,RSV B N201S,1,0.544,D8,V1P1,mAb_1,0.9489,25.01.30_mab,
