,serum,virus,replicate,concentration,well_id,plate_name,experiment_rep,fraction infectivity,input_folder,Unnamed: 9
4194,85_1,Influenza H3 2022,1,0.025,F2,MA22 P1,H3_Historical_Sera_2,1.175,24.12.20_H3_Neut_Rep2,
4195,85_1,Influenza H3 2022,1,0.008333,F3,MA22 P1,H3_Historical_Sera_2,1.424,24.12.20_H3_Neut_Rep2,
4196,85_1,Influenza H3 2022,1,0.002778,F4,MA22 P1,H3_Historical_Sera_2,0.917,24.12.20_H3_Neut_Rep2,
4197,85_1,Influenza H3 2022,1,0.0009259,F5,MA22 P1,H3_Historical_Sera_2,0.7835,24.12.20_H3_Neut_Rep2,
4198,85_1,Influenza H3 2022,1,0.0003086,F6,MA22 P1,H3_Historical_Sera_2,0.7424,24.12.20_H3_Neut_Rep2,
4199,85_1,Influenza H3 2022,1,0.0001029,F7,MA22 P1,H3_Historical_Sera_2,0.7959,24.12.20_H3_Neut_Rep2,
4200,85_1,Influenza H3 2022,1,3.429e-05,F8,MA22 P1,H3_Historical_Sera_2,0.8266,24.12.20_H3_Neut_Rep2,
4201,85_1,Influenza H3 2022,1,1.143e-05,F9,MA22 P1,H3_Historical_Sera_2,0.7754,24.12.20_H3_Neut_Rep2,
4202,85_1,Influenza H3 2022,1,3.81e-06,F10,MA22 P1,H3_Historical_Sera_2,0.8602,24.12.20_H3_Neut_Rep2,
4203,85_1,Influenza H3 2022,2,0.025,G2,MA22 P1,H3_Historical_Sera_2,1.261,24.12.20_H3_Neut_Rep2,
4204,85_1,Influenza H3 2022,2,0.008333,G3,MA22 P1,H3_Historical_Sera_2,1.565,24.12.20_H3_Neut_Rep2,
4205,85_1,Influenza H3 2022,2,0.002778,G4,MA22 P1,H3_Historical_Sera_2,0.98,24.12.20_H3_Neut_Rep2,
4206,85_1,Influenza H3 2022,2,0.0009259,G5,MA22 P1,H3_Historical_Sera_2,0.8462,24.12.20_H3_Neut_Rep2,
4207,85_1,Influenza H3 2022,2,0.0003086,G6,MA22 P1,H3_Historical_Sera_2,0.8958,24.12.20_H3_Neut_Rep2,
4208,85_1,Influenza H3 2022,2,0.0001029,G7,MA22 P1,H3_Historical_Sera_2,0.841,24.12.20_H3_Neut_Rep2,
4209,85_1,Influenza H3 2022,2,3.429e-05,G8,MA22 P1,H3_Historical_Sera_2,0.8413,24.12.20_H3_Neut_Rep2,
4210,85_1,Influenza H3 2022,2,1.143e-05,G9,MA22 P1,H3_Historical_Sera_2,0.8354,24.12.20_H3_Neut_Rep2,
4211,85_1,Influenza H3 2022,2,3.81e-06,G10,MA22 P1,H3_Historical_Sera_2,0.9588,24.12.20_H3_Neut_Rep2,
4212,85_2,Influenza H3 2022,1,0.025,D2,MA22 P1,H3_Historical_Sera_2,4.069,24.12.20_H3_Neut_Rep2,
4213,85_2,Influenza H3 2022,1,0.008333,D3,MA22 P1,H3_Historical_Sera_2,2.141,24.12.20_H3_Neut_Rep2,
4214,85_2,Influenza H3 2022,1,0.002778,D4,MA22 P1,H3_Historical_Sera_2,1.028,24.12.20_H3_Neut_Rep2,
4215,85_2,Influenza H3 2022,1,0.0009259,D5,MA22 P1,H3_Historical_Sera_2,0.7215,24.12.20_H3_Neut_Rep2,
4216,85_2,Influenza H3 2022,1,0.0003086,D6,MA22 P1,H3_Historical_Sera_2,0.6631,24.12.20_H3_Neut_Rep2,
4217,85_2,Influenza H3 2022,1,0.0001029,D7,MA22 P1,H3_Historical_Sera_2,0.7702,24.12.20_H3_Neut_Rep2,
4218,85_2,Influenza H3 2022,1,3.429e-05,D8,MA22 P1,H3_Historical_Sera_2,0.7845,24.12.20_H3_Neut_Rep2,
4219,85_2,Influenza H3 2022,1,1.143e-05,D9,MA22 P1,H3_Historical_Sera_2,0.8198,24.12.20_H3_Neut_Rep2,
4220,85_2,Influenza H3 2022,1,3.81e-06,D10,MA22 P1,H3_Historical_Sera_2,0.8814,24.12.20_H3_Neut_Rep2,
4221,85_2,Influenza H3 2022,2,0.025,E2,MA22 P1,H3_Historical_Sera_2,4.399,24.12.20_H3_Neut_Rep2,
4222,85_2,Influenza H3 2022,2,0.008333,E3,MA22 P1,H3_Historical_Sera_2,2.515,24.12.20_H3_Neut_Rep2,
4223,85_2,Influenza H3 2022,2,0.002778,E4,MA22 P1,H3_Historical_Sera_2,1.212,24.12.20_H3_Neut_Rep2,
4224,85_2,Influenza H3 2022,2,0.0009259,E5,MA22 P1,H3_Historical_Sera_2,0.7098,24.12.20_H3_Neut_Rep2,
4225,85_2,Influenza H3 2022,2,0.0003086,E6,MA22 P1,H3_Historical_Sera_2,0.731,24.12.20_H3_Neut_Rep2,
4226,85_2,Influenza H3 2022,2,0.0001029,E7,MA22 P1,H3_Historical_Sera_2,0.8012,24.12.20_H3_Neut_Rep2,
4227,85_2,Influenza H3 2022,2,3.429e-05,E8,MA22 P1,H3_Historical_Sera_2,0.8171,24.12.20_H3_Neut_Rep2,
4228,85_2,Influenza H3 2022,2,1.143e-05,E9,MA22 P1,H3_Historical_Sera_2,0.7777,24.12.20_H3_Neut_Rep2,
4229,85_2,Influenza H3 2022,2,3.81e-06,E10,MA22 P1,H3_Historical_Sera_2,0.8778,24.12.20_H3_Neut_Rep2,
4230,85_4,Influenza H3 2022,1,0.025,B2,MA22 P1,H3_Historical_Sera_2,1.813,24.12.20_H3_Neut_Rep2,
4231,85_4,Influenza H3 2022,1,0.008333,B3,MA22 P1,H3_Historical_Sera_2,1.568,24.12.20_H3_Neut_Rep2,
4232,85_4,Influenza H3 2022,1,0.002778,B4,MA22 P1,H3_Historical_Sera_2,0.8942,24.12.20_H3_Neut_Rep2,
4233,85_4,Influenza H3 2022,1,0.0009259,B5,MA22 P1,H3_Historical_Sera_2,1.012,24.12.20_H3_Neut_Rep2,
4234,85_4,Influenza H3 2022,1,0.0003086,B6,MA22 P1,H3_Historical_Sera_2,0.8932,24.12.20_H3_Neut_Rep2,
4235,85_4,Influenza H3 2022,1,0.0001029,B7,MA22 P1,H3_Historical_Sera_2,0.8785,24.12.20_H3_Neut_Rep2,
4236,85_4,Influenza H3 2022,1,3.429e-05,B8,MA22 P1,H3_Historical_Sera_2,0.9017,24.12.20_H3_Neut_Rep2,
4237,85_4,Influenza H3 2022,1,1.143e-05,B9,MA22 P1,H3_Historical_Sera_2,1.076,24.12.20_H3_Neut_Rep2,
4238,85_4,Influenza H3 2022,1,3.81e-06,B10,MA22 P1,H3_Historical_Sera_2,0.9624,24.12.20_H3_Neut_Rep2,
4239,85_4,Influenza H3 2022,2,0.025,C2,MA22 P1,H3_Historical_Sera_2,1.961,24.12.20_H3_Neut_Rep2,
4240,85_4,Influenza H3 2022,2,0.008333,C3,MA22 P1,H3_Historical_Sera_2,1.597,24.12.20_H3_Neut_Rep2,
4241,85_4,Influenza H3 2022,2,0.002778,C4,MA22 P1,H3_Historical_Sera_2,0.977,24.12.20_H3_Neut_Rep2,
4242,85_4,Influenza H3 2022,2,0.0009259,C5,MA22 P1,H3_Historical_Sera_2,1.139,24.12.20_H3_Neut_Rep2,
4243,85_4,Influenza H3 2022,2,0.0003086,C6,MA22 P1,H3_Historical_Sera_2,0.9245,24.12.20_H3_Neut_Rep2,
4244,85_4,Influenza H3 2022,2,0.0001029,C7,MA22 P1,H3_Historical_Sera_2,0.9552,24.12.20_H3_Neut_Rep2,
4245,85_4,Influenza H3 2022,2,3.429e-05,C8,MA22 P1,H3_Historical_Sera_2,0.8955,24.12.20_H3_Neut_Rep2,
4246,85_4,Influenza H3 2022,2,1.143e-05,C9,MA22 P1,H3_Historical_Sera_2,0.8455,24.12.20_H3_Neut_Rep2,
4247,85_4,Influenza H3 2022,2,3.81e-06,C10,MA22 P1,H3_Historical_Sera_2,0.9229,24.12.20_H3_Neut_Rep2,
4248,85_6,Influenza H3 2022,1,0.025,F2,MA22 P2,H3_Historical_Sera_2,0.9235,24.12.20_H3_Neut_Rep2,
4249,85_6,Influenza H3 2022,1,0.008333,F3,MA22 P2,H3_Historical_Sera_2,0.7823,24.12.20_H3_Neut_Rep2,
4250,85_6,Influenza H3 2022,1,0.002778,F4,MA22 P2,H3_Historical_Sera_2,0.5641,24.12.20_H3_Neut_Rep2,
4251,85_6,Influenza H3 2022,1,0.0009259,F5,MA22 P2,H3_Historical_Sera_2,0.7106,24.12.20_H3_Neut_Rep2,
4252,85_6,Influenza H3 2022,1,0.0003086,F6,MA22 P2,H3_Historical_Sera_2,0.7553,24.12.20_H3_Neut_Rep2,
4253,85_6,Influenza H3 2022,1,0.0001029,F7,MA22 P2,H3_Historical_Sera_2,0.8191,24.12.20_H3_Neut_Rep2,
4254,85_6,Influenza H3 2022,1,3.429e-05,F8,MA22 P2,H3_Historical_Sera_2,0.8022,24.12.20_H3_Neut_Rep2,
4255,85_6,Influenza H3 2022,1,1.143e-05,F9,MA22 P2,H3_Historical_Sera_2,0.9982,24.12.20_H3_Neut_Rep2,
4256,85_6,Influenza H3 2022,1,3.81e-06,F10,MA22 P2,H3_Historical_Sera_2,0.8691,24.12.20_H3_Neut_Rep2,
4257,85_6,Influenza H3 2022,2,0.025,G2,MA22 P2,H3_Historical_Sera_2,0.7241,24.12.20_H3_Neut_Rep2,
4258,85_6,Influenza H3 2022,2,0.008333,G3,MA22 P2,H3_Historical_Sera_2,0.78,24.12.20_H3_Neut_Rep2,
4259,85_6,Influenza H3 2022,2,0.002778,G4,MA22 P2,H3_Historical_Sera_2,0.5277,24.12.20_H3_Neut_Rep2,
4260,85_6,Influenza H3 2022,2,0.0009259,G5,MA22 P2,H3_Historical_Sera_2,0.7248,24.12.20_H3_Neut_Rep2,
4261,85_6,Influenza H3 2022,2,0.0003086,G6,MA22 P2,H3_Historical_Sera_2,0.78,24.12.20_H3_Neut_Rep2,
4262,85_6,Influenza H3 2022,2,0.0001029,G7,MA22 P2,H3_Historical_Sera_2,0.8281,24.12.20_H3_Neut_Rep2,
4263,85_6,Influenza H3 2022,2,3.429e-05,G8,MA22 P2,H3_Historical_Sera_2,0.7767,24.12.20_H3_Neut_Rep2,
4264,85_6,Influenza H3 2022,2,1.143e-05,G9,MA22 P2,H3_Historical_Sera_2,0.8469,24.12.20_H3_Neut_Rep2,
4265,85_6,Influenza H3 2022,2,3.81e-06,G10,MA22 P2,H3_Historical_Sera_2,0.8845,24.12.20_H3_Neut_Rep2,
4266,86_1,Influenza H3 2022,1,0.025,D2,MA22 P2,H3_Historical_Sera_2,2.525,24.12.20_H3_Neut_Rep2,
4267,86_1,Influenza H3 2022,1,0.008333,D3,MA22 P2,H3_Historical_Sera_2,1.782,24.12.20_H3_Neut_Rep2,
4268,86_1,Influenza H3 2022,1,0.002778,D4,MA22 P2,H3_Historical_Sera_2,0.8153,24.12.20_H3_Neut_Rep2,
4269,86_1,Influenza H3 2022,1,0.0009259,D5,MA22 P2,H3_Historical_Sera_2,0.9265,24.12.20_H3_Neut_Rep2,
4270,86_1,Influenza H3 2022,1,0.0003086,D6,MA22 P2,H3_Historical_Sera_2,0.8758,24.12.20_H3_Neut_Rep2,
4271,86_1,Influenza H3 2022,1,0.0001029,D7,MA22 P2,H3_Historical_Sera_2,0.8375,24.12.20_H3_Neut_Rep2,
4272,86_1,Influenza H3 2022,1,3.429e-05,D8,MA22 P2,H3_Historical_Sera_2,0.7568,24.12.20_H3_Neut_Rep2,
4273,86_1,Influenza H3 2022,1,1.143e-05,D9,MA22 P2,H3_Historical_Sera_2,0.9896,24.12.20_H3_Neut_Rep2,
4274,86_1,Influenza H3 2022,1,3.81e-06,D10,MA22 P2,H3_Historical_Sera_2,0.9776,24.12.20_H3_Neut_Rep2,
4275,86_1,Influenza H3 2022,2,0.025,E2,MA22 P2,H3_Historical_Sera_2,2.268,24.12.20_H3_Neut_Rep2,
4276,86_1,Influenza H3 2022,2,0.008333,E3,MA22 P2,H3_Historical_Sera_2,1.67,24.12.20_H3_Neut_Rep2,
4277,86_1,Influenza H3 2022,2,0.002778,E4,MA22 P2,H3_Historical_Sera_2,0.7406,24.12.20_H3_Neut_Rep2,
4278,86_1,Influenza H3 2022,2,0.0009259,E5,MA22 P2,H3_Historical_Sera_2,0.8319,24.12.20_H3_Neut_Rep2,
4279,86_1,Influenza H3 2022,2,0.0003086,E6,MA22 P2,H3_Historical_Sera_2,0.9558,24.12.20_H3_Neut_Rep2,
4280,86_1,Influenza H3 2022,2,0.0001029,E7,MA22 P2,H3_Historical_Sera_2,0.815,24.12.20_H3_Neut_Rep2,
4281,86_1,Influenza H3 2022,2,3.429e-05,E8,MA22 P2,H3_Historical_Sera_2,0.7962,24.12.20_H3_Neut_Rep2,
4282,86_1,Influenza H3 2022,2,1.143e-05,E9,MA22 P2,H3_Historical_Sera_2,0.8315,24.12.20_H3_Neut_Rep2,
4283,86_1,Influenza H3 2022,2,3.81e-06,E10,MA22 P2,H3_Historical_Sera_2,0.9536,24.12.20_H3_Neut_Rep2,
4284,86_2,Influenza H3 2022,1,0.025,B2,MA22 P2,H3_Historical_Sera_2,1.376,24.12.20_H3_Neut_Rep2,
4285,86_2,Influenza H3 2022,1,0.008333,B3,MA22 P2,H3_Historical_Sera_2,0.774,24.12.20_H3_Neut_Rep2,
4286,86_2,Influenza H3 2022,1,0.002778,B4,MA22 P2,H3_Historical_Sera_2,0.7136,24.12.20_H3_Neut_Rep2,
4287,86_2,Influenza H3 2022,1,0.0009259,B5,MA22 P2,H3_Historical_Sera_2,0.8998,24.12.20_H3_Neut_Rep2,
4288,86_2,Influenza H3 2022,1,0.0003086,B6,MA22 P2,H3_Historical_Sera_2,0.8544,24.12.20_H3_Neut_Rep2,
4289,86_2,Influenza H3 2022,1,0.0001029,B7,MA22 P2,H3_Historical_Sera_2,0.83,24.12.20_H3_Neut_Rep2,
4290,86_2,Influenza H3 2022,1,3.429e-05,B8,MA22 P2,H3_Historical_Sera_2,0.821,24.12.20_H3_Neut_Rep2,
4291,86_2,Influenza H3 2022,1,1.143e-05,B9,MA22 P2,H3_Historical_Sera_2,0.8292,24.12.20_H3_Neut_Rep2,
4292,86_2,Influenza H3 2022,1,3.81e-06,B10,MA22 P2,H3_Historical_Sera_2,0.931,24.12.20_H3_Neut_Rep2,
4293,86_2,Influenza H3 2022,2,0.025,C2,MA22 P2,H3_Historical_Sera_2,1.38,24.12.20_H3_Neut_Rep2,
4294,86_2,Influenza H3 2022,2,0.008333,C3,MA22 P2,H3_Historical_Sera_2,0.7748,24.12.20_H3_Neut_Rep2,
4295,86_2,Influenza H3 2022,2,0.002778,C4,MA22 P2,H3_Historical_Sera_2,0.6531,24.12.20_H3_Neut_Rep2,
