condition,serum,virus,replicate,concentration,well_id,plate_name,fraction infectivity
Pooled Sera_293T,293T,RSV A 2020 F,1,0.025,D2,Cells 293T A2020,0.002301
Pooled Sera_293T,293T,RSV A 2020 F,1,0.008333,D3,Cells 293T A2020,0.002236
Pooled Sera_293T,293T,RSV A 2020 F,1,0.002778,D4,Cells 293T A2020,0.02118
Pooled Sera_293T,293T,RSV A 2020 F,1,0.0009259,D5,Cells 293T A2020,0.1108
Pooled Sera_293T,293T,RSV A 2020 F,1,0.0003086,D6,Cells 293T A2020,0.4446
Pooled Sera_293T,293T,RSV A 2020 F,1,0.0001029,D7,Cells 293T A2020,0.7679
Pooled Sera_293T,293T,RSV A 2020 F,1,3.429e-05,D8,Cells 293T A2020,0.8263
Pooled Sera_293T,293T,RSV A 2020 F,1,1.143e-05,D9,Cells 293T A2020,0.8549
Pooled Sera_293T,293T,RSV A 2020 F,1,3.81e-06,D10,Cells 293T A2020,0.783
Pooled Sera_293T,293T,RSV A 2020 F,2,0.025,E2,Cells 293T A2020,0.002199
Pooled Sera_293T,293T,RSV A 2020 F,2,0.008333,E3,Cells 293T A2020,0.00184
Pooled Sera_293T,293T,RSV A 2020 F,2,0.002778,E4,Cells 293T A2020,0.009492
Pooled Sera_293T,293T,RSV A 2020 F,2,0.0009259,E5,Cells 293T A2020,0.1121
Pooled Sera_293T,293T,RSV A 2020 F,2,0.0003086,E6,Cells 293T A2020,0.5992
Pooled Sera_293T,293T,RSV A 2020 F,2,0.0001029,E7,Cells 293T A2020,0.6249
Pooled Sera_293T,293T,RSV A 2020 F,2,3.429e-05,E8,Cells 293T A2020,0.907
Pooled Sera_293T,293T,RSV A 2020 F,2,1.143e-05,E9,Cells 293T A2020,1.039
Pooled Sera_293T,293T,RSV A 2020 F,2,3.81e-06,E10,Cells 293T A2020,1.089
Pooled Sera_293T,293T,RSV B 2024 F,1,0.025,D2,Cells 293T B2024,0.01197
Pooled Sera_293T,293T,RSV B 2024 F,1,0.008333,D3,Cells 293T B2024,0.02536
Pooled Sera_293T,293T,RSV B 2024 F,1,0.002778,D4,Cells 293T B2024,0.01152
Pooled Sera_293T,293T,RSV B 2024 F,1,0.0009259,D5,Cells 293T B2024,0.3252
Pooled Sera_293T,293T,RSV B 2024 F,1,0.0003086,D6,Cells 293T B2024,0.6254
Pooled Sera_293T,293T,RSV B 2024 F,1,0.0001029,D7,Cells 293T B2024,0.7618
Pooled Sera_293T,293T,RSV B 2024 F,1,3.429e-05,D8,Cells 293T B2024,1.08
Pooled Sera_293T,293T,RSV B 2024 F,1,1.143e-05,D9,Cells 293T B2024,0.935
Pooled Sera_293T,293T,RSV B 2024 F,1,3.81e-06,D10,Cells 293T B2024,1.373
Pooled Sera_293T,293T,RSV B 2024 F,2,0.025,E2,Cells 293T B2024,0.01202
Pooled Sera_293T,293T,RSV B 2024 F,2,0.008333,E3,Cells 293T B2024,0.01176
Pooled Sera_293T,293T,RSV B 2024 F,2,0.002778,E4,Cells 293T B2024,0.009749
Pooled Sera_293T,293T,RSV B 2024 F,2,0.0009259,E5,Cells 293T B2024,0.1594
Pooled Sera_293T,293T,RSV B 2024 F,2,0.0003086,E6,Cells 293T B2024,0.4147
Pooled Sera_293T,293T,RSV B 2024 F,2,0.0001029,E7,Cells 293T B2024,0.8936
Pooled Sera_293T,293T,RSV B 2024 F,2,3.429e-05,E8,Cells 293T B2024,1.18
Pooled Sera_293T,293T,RSV B 2024 F,2,1.143e-05,E9,Cells 293T B2024,1.123
Pooled Sera_293T,293T,RSV B 2024 F,2,3.81e-06,E10,Cells 293T B2024,1.34
Pooled Sera_293T,293T,RSV A Long,1,0.025,D2,Cells 293T Long,0.0004711
Pooled Sera_293T,293T,RSV A Long,1,0.008333,D3,Cells 293T Long,0.0002966
Pooled Sera_293T,293T,RSV A Long,1,0.002778,D4,Cells 293T Long,0.000546
Pooled Sera_293T,293T,RSV A Long,1,0.0009259,D5,Cells 293T Long,0.0009553
Pooled Sera_293T,293T,RSV A Long,1,0.0003086,D6,Cells 293T Long,0.04298
Pooled Sera_293T,293T,RSV A Long,1,0.0001029,D7,Cells 293T Long,0.6664
Pooled Sera_293T,293T,RSV A Long,1,3.429e-05,D8,Cells 293T Long,0.8029
Pooled Sera_293T,293T,RSV A Long,1,1.143e-05,D9,Cells 293T Long,0.7422
Pooled Sera_293T,293T,RSV A Long,1,3.81e-06,D10,Cells 293T Long,0.9118
Pooled Sera_293T,293T,RSV A Long,2,0.025,E2,Cells 293T Long,0.0005033
Pooled Sera_293T,293T,RSV A Long,2,0.008333,E3,Cells 293T Long,0.0004133
Pooled Sera_293T,293T,RSV A Long,2,0.002778,E4,Cells 293T Long,0.0003116
Pooled Sera_293T,293T,RSV A Long,2,0.0009259,E5,Cells 293T Long,0.01174
Pooled Sera_293T,293T,RSV A Long,2,0.0003086,E6,Cells 293T Long,0.04173
Pooled Sera_293T,293T,RSV A Long,2,0.0001029,E7,Cells 293T Long,0.384
Pooled Sera_293T,293T,RSV A Long,2,3.429e-05,E8,Cells 293T Long,0.7172
Pooled Sera_293T,293T,RSV A Long,2,1.143e-05,E9,Cells 293T Long,1.003
Pooled Sera_293T,293T,RSV A Long,2,3.81e-06,E10,Cells 293T Long,1.578
Pooled Sera_TIM1,TIM1,RSV A 2020 F,1,0.025,D2,Cell TIM1 A2020,0.0003502
Pooled Sera_TIM1,TIM1,RSV A 2020 F,1,0.008333,D3,Cell TIM1 A2020,0.002024
Pooled Sera_TIM1,TIM1,RSV A 2020 F,1,0.002778,D4,Cell TIM1 A2020,0.02298
Pooled Sera_TIM1,TIM1,RSV A 2020 F,1,0.0009259,D5,Cell TIM1 A2020,0.162
Pooled Sera_TIM1,TIM1,RSV A 2020 F,1,0.0003086,D6,Cell TIM1 A2020,0.4706
Pooled Sera_TIM1,TIM1,RSV A 2020 F,1,0.0001029,D7,Cell TIM1 A2020,0.5153
Pooled Sera_TIM1,TIM1,RSV A 2020 F,1,3.429e-05,D8,Cell TIM1 A2020,0.8149
Pooled Sera_TIM1,TIM1,RSV A 2020 F,1,1.143e-05,D9,Cell TIM1 A2020,1.043
Pooled Sera_TIM1,TIM1,RSV A 2020 F,1,3.81e-06,D10,Cell TIM1 A2020,1.023
Pooled Sera_TIM1,TIM1,RSV A 2020 F,2,0.025,E2,Cell TIM1 A2020,0.000375
Pooled Sera_TIM1,TIM1,RSV A 2020 F,2,0.008333,E3,Cell TIM1 A2020,0.0003845
Pooled Sera_TIM1,TIM1,RSV A 2020 F,2,0.002778,E4,Cell TIM1 A2020,0.0008714
Pooled Sera_TIM1,TIM1,RSV A 2020 F,2,0.0009259,E5,Cell TIM1 A2020,0.1631
Pooled Sera_TIM1,TIM1,RSV A 2020 F,2,0.0003086,E6,Cell TIM1 A2020,0.5061
Pooled Sera_TIM1,TIM1,RSV A 2020 F,2,0.0001029,E7,Cell TIM1 A2020,0.7162
Pooled Sera_TIM1,TIM1,RSV A 2020 F,2,3.429e-05,E8,Cell TIM1 A2020,0.7723
Pooled Sera_TIM1,TIM1,RSV A 2020 F,2,1.143e-05,E9,Cell TIM1 A2020,1.004
Pooled Sera_TIM1,TIM1,RSV A 2020 F,2,3.81e-06,E10,Cell TIM1 A2020,1.082
Pooled Sera_TIM1,TIM1,RSV B 2024 F,1,0.025,D2,Cell TIM1 B2024 ,0.000789
Pooled Sera_TIM1,TIM1,RSV B 2024 F,1,0.008333,D3,Cell TIM1 B2024 ,0.001147
Pooled Sera_TIM1,TIM1,RSV B 2024 F,1,0.002778,D4,Cell TIM1 B2024 ,0.02046
Pooled Sera_TIM1,TIM1,RSV B 2024 F,1,0.0009259,D5,Cell TIM1 B2024 ,0.152
Pooled Sera_TIM1,TIM1,RSV B 2024 F,1,0.0003086,D6,Cell TIM1 B2024 ,0.4253
Pooled Sera_TIM1,TIM1,RSV B 2024 F,1,0.0001029,D7,Cell TIM1 B2024 ,0.6578
Pooled Sera_TIM1,TIM1,RSV B 2024 F,1,3.429e-05,D8,Cell TIM1 B2024 ,0.7633
