serum,virus,replicate,concentration,fraction infectivity
Nirsevimab neutralization of RSV Long, 100uL 1.2e7 RLU/well IC50 1.1ng/mL,1,1000,4.46508E-05
Nirsevimab neutralization of RSV Long, 100uL 1.2e7 RLU/well IC50 1.1ng/mL,1,285.7142857,4.58092E-05
Nirsevimab neutralization of RSV Long, 100uL 1.2e7 RLU/well IC50 1.1ng/mL,1,81.63265306,0.000414055
Nirsevimab neutralization of RSV Long, 100uL 1.2e7 RLU/well IC50 1.1ng/mL,1,23.32361516,0.000348041
Nirsevimab neutralization of RSV Long, 100uL 1.2e7 RLU/well IC50 1.1ng/mL,1,6.663890046,0.04697615
Nirsevimab neutralization of RSV Long, 100uL 1.2e7 RLU/well IC50 1.1ng/mL,1,1.903968585,0.319846678
Nirsevimab neutralization of RSV Long, 100uL 1.2e7 RLU/well IC50 1.1ng/mL,1,0.543991024,0.736115843
Nirsevimab neutralization of RSV Long, 100uL 1.2e7 RLU/well IC50 1.1ng/mL,1,0.155426007,1.017035775
Nirsevimab neutralization of RSV Long, 100uL 1.2e7 RLU/well IC50 1.1ng/mL,1,0.044407431,1.074105622
Nirsevimab neutralization of RSV Long, 100uL 1.2e7 RLU/well IC50 1.1ng/mL,2,1000,0.000630324
Nirsevimab neutralization of RSV Long, 100uL 1.2e7 RLU/well IC50 1.1ng/mL,2,285.7142857,4.42249E-05
Nirsevimab neutralization of RSV Long, 100uL 1.2e7 RLU/well IC50 1.1ng/mL,2,81.63265306,0.000492504
Nirsevimab neutralization of RSV Long, 100uL 1.2e7 RLU/well IC50 1.1ng/mL,2,23.32361516,0.000422402
Nirsevimab neutralization of RSV Long, 100uL 1.2e7 RLU/well IC50 1.1ng/mL,2,6.663890046,0.058901193
Nirsevimab neutralization of RSV Long, 100uL 1.2e7 RLU/well IC50 1.1ng/mL,2,1.903968585,0.37879046
Nirsevimab neutralization of RSV Long, 100uL 1.2e7 RLU/well IC50 1.1ng/mL,2,0.543991024,0.690034072
Nirsevimab neutralization of RSV Long, 100uL 1.2e7 RLU/well IC50 1.1ng/mL,2,0.155426007,0.891822828
Nirsevimab neutralization of RSV Long, 100uL 1.2e7 RLU/well IC50 1.1ng/mL,2,0.044407431,1.052810903
Nirsevimab neutralization of RSV Long, 10uL 1.2e6 RLU/well IC50 0.8ng/mL,1,1000,6.15717E-05
Nirsevimab neutralization of RSV Long, 10uL 1.2e6 RLU/well IC50 0.8ng/mL,1,285.7142857,0.000664984
Nirsevimab neutralization of RSV Long, 10uL 1.2e6 RLU/well IC50 0.8ng/mL,1,81.63265306,0.000174756
Nirsevimab neutralization of RSV Long, 10uL 1.2e6 RLU/well IC50 0.8ng/mL,1,23.32361516,0.000562622
Nirsevimab neutralization of RSV Long, 10uL 1.2e6 RLU/well IC50 0.8ng/mL,1,6.663890046,0.023118893
Nirsevimab neutralization of RSV Long, 10uL 1.2e6 RLU/well IC50 0.8ng/mL,1,1.903968585,0.247882736
Nirsevimab neutralization of RSV Long, 10uL 1.2e6 RLU/well IC50 0.8ng/mL,1,0.543991024,0.637214984
Nirsevimab neutralization of RSV Long, 10uL 1.2e6 RLU/well IC50 0.8ng/mL,1,0.155426007,0.899022801
Nirsevimab neutralization of RSV Long, 10uL 1.2e6 RLU/well IC50 0.8ng/mL,1,0.044407431,1.040716612
Nirsevimab neutralization of RSV Long, 10uL 1.2e6 RLU/well IC50 0.8ng/mL,2,1000,9.34039E-05
Nirsevimab neutralization of RSV Long, 10uL 1.2e6 RLU/well IC50 0.8ng/mL,2,285.7142857,7.7728E-05
Nirsevimab neutralization of RSV Long, 10uL 1.2e6 RLU/well IC50 0.8ng/mL,2,81.63265306,5.87052E-05
Nirsevimab neutralization of RSV Long, 10uL 1.2e6 RLU/well IC50 0.8ng/mL,2,23.32361516,0.000232329
Nirsevimab neutralization of RSV Long, 10uL 1.2e6 RLU/well IC50 0.8ng/mL,2,6.663890046,0.018607492
Nirsevimab neutralization of RSV Long, 10uL 1.2e6 RLU/well IC50 0.8ng/mL,2,1.903968585,0.204153094
Nirsevimab neutralization of RSV Long, 10uL 1.2e6 RLU/well IC50 0.8ng/mL,2,0.543991024,0.712947883
Nirsevimab neutralization of RSV Long, 10uL 1.2e6 RLU/well IC50 0.8ng/mL,2,0.155426007,0.728990228
Nirsevimab neutralization of RSV Long, 10uL 1.2e6 RLU/well IC50 0.8ng/mL,2,0.044407431,1.108306189
