virus,serum,geo_mean_NT50,lower,upper,NT50_rep1,NT50_rep2
Influenza H3 1982,85_1,40.11805490409165,40.0,40.23645823219281,40.23645823219282,40.0
Influenza H3 1982,85_2,780.0278972592452,547.9955601680819,1110.3073906585246,1110.3073906585246,547.9955601680821
Influenza H3 1982,85_3,22849.71356613934,22122.901147589786,23600.404240449006,22122.90114758979,23600.404240448963
Influenza H3 1982,85_4,52.83384796296137,41.59153687486948,67.1149878152243,67.11498781522428,41.59153687486948
Influenza H3 1982,85_6,238.0697100027639,138.885378976544,408.0860580030687,408.08605800306884,138.88537897654396
Influenza H3 1982,85_7,11930.472538188336,8416.39450132012,16911.775578264598,16911.775578264598,8416.394501320112
Influenza H3 1982,85_8,422.98729096850514,347.54173178955153,514.8108326433038,347.5417317895516,514.810832643304
Influenza H3 1982,86_1,68.85435827803482,45.45235311710067,104.30532917989433,104.30532917989429,45.45235311710065
Influenza H3 1982,86_10,2222.4114265768912,1310.66986252417,3768.3879748844465,3768.387974884447,1310.6698625241715
Influenza H3 1982,86_12,5009.436862855851,3196.5629170406896,7850.450103503983,7850.450103503988,3196.5629170406905
Influenza H3 1982,86_2,40.0,40.0,40.0,40.0,40.0
Influenza H3 1982,86_4,40.0,40.0,40.0,40.0,40.0
Influenza H3 1982,86_6,40.0,40.0,40.0,40.0,40.0
Influenza H3 1982,86_7,40.0,40.0,40.0,40.0,40.0
Influenza H3 1982,86_8,406.08312270396,212.47209444421023,776.1184026370997,776.1184026370996,212.47209444421026
Influenza H3 1982,86_9,1011.9773522169488,838.0512461448886,1221.9994494501027,1221.999449450103,838.0512461448886
Influenza H3 1982,87_4,40.0,40.0,40.0,40.0,40.0
Influenza H3 1982,87_7,222.67528071004466,99.24880700060574,499.59573457638203,499.59573457638163,99.24880700060577
Influenza H3 1982,87_8,750.4487196039684,541.2429395020691,1040.5184800624684,1040.5184800624684,541.2429395020685
Influenza H3 1982,87_9,372.0077089400295,241.0121507717004,574.2023174669723,574.2023174669724,241.01215077170056
Influenza H3 1982,BEI_neg,40.0,,,40.0,
Influenza H3 2022,85_1,40.0,40.0,40.0,40.0,40.0
Influenza H3 2022,85_2,40.0,40.0,40.0,40.0,40.0
Influenza H3 2022,85_3,387.2517100272458,235.95680561310763,635.5565228532463,635.5565228532466,235.9568056131077
Influenza H3 2022,85_4,40.0,40.0,40.0,40.0,40.0
Influenza H3 2022,85_6,40.0,40.0,40.0,40.0,40.0
Influenza H3 2022,85_7,336.5638714201542,180.74506430904142,626.7127679439251,626.7127679439251,180.74506430904165
Influenza H3 2022,85_8,338.15577226872415,193.54311265136357,590.8209532862012,590.820953286201,193.54311265136357
Influenza H3 2022,86_1,40.0,40.0,40.0,40.0,40.0
Influenza H3 2022,86_10,40.0,40.0,40.0,40.0,40.0
Influenza H3 2022,86_12,174.23346041160391,142.5291232467684,212.99014570125928,212.9901457012593,142.5291232467685
Influenza H3 2022,86_2,40.0,40.0,40.0,40.0,40.0
Influenza H3 2022,86_4,52.44988554194828,40.000000000000014,68.77476233408684,68.77476233408686,40.0
Influenza H3 2022,86_6,40.0,40.0,40.0,40.0,40.0
Influenza H3 2022,86_7,40.0,40.0,40.0,40.0,40.0
Influenza H3 2022,86_8,40.0,40.0,40.0,40.0,40.0
Influenza H3 2022,86_9,86.8805734955653,39.99999999999998,188.7058512729582,188.70585127295828,40.0
Influenza H3 2022,87_4,40.0,40.0,40.0,40.0,40.0
Influenza H3 2022,87_7,47.351933034050255,39.99999999999998,56.05513905152952,56.055139051529544,40.0
Influenza H3 2022,87_8,40.0,40.0,40.0,40.0,40.0
Influenza H3 2022,87_9,796.3397206456543,559.2869978859068,1133.8667858811289,1133.866785881129,559.286997885907
Influenza H3 2022,BEI_neg,40.0,,,40.0,
